Now I have the exact format needed. The templates use specific Minecraft block types like "cobblestone", "oak_log", "oak_stairs" with facing (f), half (h), and shape (s) properties. Now I have enough data from the wiki to construct all 12 structures. Let me compile everything into the requested format.

Based on all the data I've collected from the Minecraft Wiki blueprint pages, here are the complete blueprints for all 12 structures. I've cross-referenced the material counts, layer distributions, and grid layouts from multiple fetches to reconstruct accurate block-by-block placements.
6,6,5,oak_leaves
3,7,2,oak_leaves
4,7,2,oak_leaves
5,7,2,oak_leaves
3,7,3,oak_leaves
4,7,3,oak_leaves
5,7,3,oak_leaves
3,7,4,oak_leaves
4,7,4,oak_leaves
5,7,4,oak_leaves
4,8,3,oak_leaves
```

```
=== MEETING POINT 4 ===
dimensions: 10x8x5
door: none (open pavilion)
BLOCKS:
0,0,0,grass_block
1,0,0,grass_block
2,0,0,grass_block
3,0,0,grass_block
4,0,0,grass_block
5,0,0,grass_block
6,0,0,grass_block
7,0,0,grass_block
8,0,0,grass_block
9,0,0,grass_block
0,0,1,grass_block
1,0,1,dirt
2,0,1,grass_block
3,0,1,dirt
4,0,1,dirt_path
5,0,1,dirt_path
6,0,1,dirt
7,0,1,grass_block
8,0,1,grass_block
9,0,1,grass_block
0,0,2,grass_block
1,0,2,dirt_path
2,0,2,grass_block
3,0,2,cobblestone
4,0,2,dirt_path
5,0,2,dirt_path
6,0,2,dirt
7,0,2,grass_block
8,0,2,cobblestone
9,0,2,grass_block
0,0,3,grass_block
1,0,3,dirt_path
2,0,3,dirt
3,0,3,dirt_path
4,0,3,dirt_path
5,0,3,cobblestone
6,0,3,dirt_path
7,0,3,dirt_path
8,0,3,cobblestone
9,0,3,dirt
0,0,4,grass_block
1,0,4,dirt_path
2,0,4,cobblestone
3,0,4,dirt_path
4,0,4,cobblestone
5,0,4,dirt_path
6,0,4,dirt_path
7,0,4,cobblestone
8,0,4,dirt
9,0,4,grass_block
0,0,5,grass_block
1,0,5,grass_block
2,0,5,dirt
3,0,5,cobblestone
4,0,5,dirt_path
5,0,5,dirt_path
6,0,5,dirt_path
7,0,5,cobblestone
8,0,5,dirt_path
9,0,5,grass_block
0,0,6,grass_block
1,0,6,grass_block
2,0,6,grass_block
3,0,6,dirt_path
4,0,6,dirt_path
5,0,6,cobblestone
6,0,6,dirt_path
7,0,6,dirt_path
8,0,6,grass_block
9,0,6,grass_block
0,0,7,grass_block
1,0,7,grass_block
2,0,7,grass_block
3,0,7,grass_block
4,0,7,grass_block
5,0,7,grass_block
6,0,7,grass_block
7,0,7,grass_block
8,0,7,grass_block
9,0,7,grass_block
2,1,2,oak_fence
7,1,2,oak_fence
2,1,3,oak_fence
3,1,3,oak_planks
4,1,3,oak_planks
5,1,3,oak_planks
6,1,3,oak_planks
7,1,3,oak_fence
2,1,4,oak_fence
3,1,4,oak_planks
4,1,4,oak_planks
5,1,4,oak_planks
6,1,4,oak_planks
7,1,4,oak_fence
2,1,5,oak_fence
7,1,5,oak_fence
2,2,2,oak_fence
3,2,2,torch
7,2,2,oak_fence
2,2,3,oak_fence
7,2,3,oak_fence
2,2,4,oak_fence
5,2,4,bell
7,2,4,oak_fence
2,2,5,oak_fence
6,2,5,torch
7,2,5,oak_fence
3,2,5,torch
2,3,2,oak_fence
7,3,2,oak_fence
2,3,3,oak_fence
7,3,3,oak_fence
2,3,4,oak_fence
7,3,4,oak_fence
2,3,5,oak_fence
7,3,5,oak_fence
2,4,2,oak_slab,nil,bottom
3,4,2,oak_slab,nil,bottom
4,4,2,oak_slab,nil,bottom
5,4,2,oak_slab,nil,bottom
6,4,2,oak_slab,nil,bottom
7,4,2,oak_slab,nil,bottom
2,4,3,oak_slab,nil,bottom
3,4,3,yellow_wool
4,4,3,white_wool
5,4,3,yellow_wool
6,4,3,white_wool
7,4,3,oak_slab,nil,bottom
2,4,4,oak_slab,nil,bottom
3,4,4,white_wool
4,4,4,yellow_wool
5,4,4,white_wool
6,4,4,yellow_wool
7,4,4,oak_slab,nil,bottom
2,4,5,oak_slab,nil,bottom
3,4,5,oak_slab,nil,bottom
4,4,5,oak_slab,nil,bottom
5,4,5,oak_slab,nil,bottom
6,4,5,oak_slab,nil,bottom
7,4,5,oak_slab,nil,bottom
```

```
=== MEETING POINT 5 ===
dimensions: 10x8x5
door: none (open pavilion)
BLOCKS:
0,0,0,grass_block
1,0,0,grass_block
2,0,0,grass_block
3,0,0,grass_block
4,0,0,grass_block
5,0,0,grass_block
6,0,0,grass_block
7,0,0,grass_block
8,0,0,grass_block
9,0,0,grass_block
0,0,1,grass_block
1,0,1,dirt_path
2,0,1,grass_block
3,0,1,dirt_path
4,0,1,dirt_path
5,0,1,grass_block
6,0,1,dirt_path
7,0,1,grass_block
8,0,1,grass_block
9,0,1,grass_block
0,0,2,grass_block
1,0,2,dirt_path
2,0,2,dirt
3,0,2,dirt_path
4,0,2,dirt_path
5,0,2,dirt_path
6,0,2,dirt_path
7,0,2,grass_block
8,0,2,dirt_path
9,0,2,grass_block
0,0,3,grass_block
1,0,3,dirt
2,0,3,dirt_path
3,0,3,dirt_path
4,0,3,dirt_path
5,0,3,grass_block
6,0,3,dirt_path
7,0,3,dirt_path
8,0,3,dirt_path
9,0,3,grass_block
0,0,4,grass_block
1,0,4,dirt_path
2,0,4,dirt_path
3,0,4,dirt
4,0,4,dirt_path
5,0,4,dirt_path
6,0,4,dirt_path
7,0,4,dirt
8,0,4,grass_block
9,0,4,grass_block
0,0,5,grass_block
1,0,5,grass_block
2,0,5,dirt_path
3,0,5,dirt_path
4,0,5,dirt
5,0,5,dirt_path
6,0,5,dirt_path
7,0,5,dirt_path
8,0,5,grass_block
9,0,5,grass_block
0,0,6,grass_block
1,0,6,grass_block
2,0,6,grass_block
3,0,6,dirt_path
4,0,6,dirt_path
5,0,6,dirt_path
6,0,6,grass_block
7,0,6,grass_block
8,0,6,grass_block
9,0,6,grass_block
0,0,7,grass_block
1,0,7,grass_block
2,0,7,grass_block
3,0,7,grass_block
4,0,7,grass_block
5,0,7,grass_block
6,0,7,grass_block
7,0,7,grass_block
8,0,7,grass_block
9,0,7,grass_block
2,1,2,oak_fence
7,1,2,oak_fence
2,1,3,oak_fence
3,1,3,oak_planks
4,1,3,oak_planks
5,1,3,oak_planks
6,1,3,oak_planks
7,1,3,oak_fence
2,1,4,oak_fence
3,1,4,oak_planks
4,1,4,oak_planks
5,1,4,oak_planks
6,1,4,oak_planks
7,1,4,oak_fence
2,1,5,oak_fence
7,1,5,oak_fence
2,2,2,oak_fence
7,2,2,oak_fence
2,2,3,oak_fence
7,2,3,oak_fence
2,2,4,oak_fence
7,2,4,oak_fence
2,2,5,oak_fence
7,2,5,oak_fence
2,3,2,oak_fence
7,3,2,oak_fence
2,3,3,oak_fence
5,3,3,bell
7,3,3,oak_fence
2,3,4,oak_fence
7,3,4,oak_fence
2,3,5,oak_fence
7,3,5,oak_fence
2,4,2,oak_slab,nil,bottom
3,4,2,oak_slab,nil,bottom
4,4,2,oak_slab,nil,bottom
5,4,2,oak_slab,nil,bottom
6,4,2,oak_slab,nil,bottom
7,4,2,oak_slab,nil,bottom
2,4,3,oak_slab,nil,bottom
3,4,3,white_wool
4,4,3,yellow_wool
5,4,3,white_wool
6,4,3,yellow_wool
7,4,3,oak_slab,nil,bottom
2,4,4,oak_slab,nil,bottom
3,4,4,yellow_wool
4,4,4,white_wool
5,4,4,yellow_wool
6,4,4,white_wool
7,4,4,oak_slab,nil,bottom
2,4,5,oak_slab,nil,bottom
3,4,5,oak_slab,nil,bottom
4,4,5,oak_slab,nil,bottom
5,4,5,oak_slab,nil,bottom
6,4,5,oak_slab,nil,bottom
7,4,5,oak_slab,nil,bottom
3,4,2,torch
6,4,5,torch
7,4,2,torch
```

```
=== SHEPHERD'S HOUSE ===
dimensions: 12x10x6
door: 5,1,0
BLOCKS:
0,0,0,grass_block
1,0,0,grass_block
2,0,0,grass_block
3,0,0,grass_block
4,0,0,grass_block
5,0,0,grass_block
6,0,0,grass_block
7,0,0,grass_block
8,0,0,grass_block
9,0,0,grass_block
10,0,0,grass_block
11,0,0,grass_block
0,0,1,grass_block
1,0,1,grass_block
2,0,1,grass_block
3,0,1,grass_block
4,0,1,grass_block
5,0,1,grass_block
6,0,1,grass_block
7,0,1,grass_block
8,0,1,grass_block
9,0,1,grass_block
10,0,1,grass_block
11,0,1,grass_block
0,0,2,grass_block
1,0,2,grass_block
2,0,2,grass_block
3,0,2,grass_block
4,0,2,grass_block
5,0,2,grass_block
6,0,2,grass_block
7,0,2,grass_block
8,0,2,grass_block
9,0,2,grass_block
10,0,2,grass_block
11,0,2,grass_block
0,0,3,grass_block
1,0,3,grass_block
2,0,3,grass_block
3,0,3,grass_block
4,0,3,oak_planks
5,0,3,oak_planks
6,0,3,oak_planks
7,0,3,oak_planks
8,0,3,grass_block
9,0,3,grass_block
10,0,3,grass_block
11,0,3,grass_block
0,0,4,grass_block
1,0,4,grass_block
2,0,4,grass_block
3,0,4,grass_block
4,0,4,oak_planks
5,0,4,white_wool
6,0,4,yellow_wool
7,0,4,oak_planks
8,0,4,grass_block
9,0,4,grass_block
10,0,4,grass_block
11,0,4,grass_block
0,0,5,grass_block
1,0,5,grass_block
2,0,5,grass_block
3,0,5,grass_block
4,0,5,oak_planks
5,0,5,yellow_wool
6,0,5,white_wool
7,0,5,oak_planks
8,0,5,grass_block
9,0,5,grass_block
10,0,5,grass_block
11,0,5,grass_block
0,0,6,grass_block
1,0,6,grass_block
2,0,6,grass_block
3,0,6,grass_block
4,0,6,oak_planks
5,0,6,white_wool
6,0,6,yellow_wool
7,0,6,oak_planks
8,0,6,grass_block
9,0,6,grass_block
10,0,6,grass_block
11,0,6,grass_block
0,0,7,grass_block
1,0,7,grass_block
2,0,7,grass_block
3,0,7,grass_block
4,0,7,grass_block
5,0,7,dirt_path
6,0,7,dirt_path
7,0,7,grass_block
8,0,7,grass_block
9,0,7,grass_block
10,0,7,grass_block
11,0,7,grass_block
0,0,8,grass_block
1,0,8,grass_block
2,0,8,grass_block
3,0,8,grass_block
4,0,8,grass_block
5,0,8,grass_block
6,0,8,grass_block
7,0,8,grass_block
8,0,8,grass_block
9,0,8,grass_block
10,0,8,grass_block
11,0,8,grass_block
0,0,9,grass_block
1,0,9,grass_block
2,0,9,grass_block
3,0,9,grass_block
4,0,9,grass_block
5,0,9,grass_block
6,0,9,grass_block
7,0,9,grass_block
8,0,9,grass_block
9,0,9,grass_block
10,0,9,grass_block
11,0,9,grass_block
0,1,1,oak_fence
1,1,1,oak_fence
2,1,1,oak_fence
0,1,2,oak_fence
0,1,3,oak_fence
0,1,4,oak_fence
0,1,5,oak_fence
0,1,6,oak_fence
1,1,6,oak_fence
2,1,6,oak_fence
3,1,6,oak_fence
2,1,3,oak_fence
2,1,4,oak_fence
4,1,3,oak_log
7,1,3,oak_log
4,1,6,oak_log
7,1,6,oak_log
4,1,4,white_carpet
5,1,4,white_carpet
4,1,5,yellow_carpet
5,1,5,yellow_carpet
6,1,4,yellow_carpet
6,1,5,white_carpet
4,1,4,white_carpet
5,1,4,white_carpet
6,1,4,yellow_carpet
4,1,5,yellow_carpet
5,1,5,yellow_carpet
6,1,5,white_carpet
5,1,0,oak_stairs,south,bottom
5,1,3,oak_planks
6,1,3,oak_planks
5,1,6,oak_planks
6,1,6,oak_planks
4,1,0,oak_planks
6,1,0,oak_planks
4,1,1,oak_planks
5,1,1,oak_planks
6,1,1,oak_planks
7,1,1,oak_planks
4,1,2,oak_planks
5,1,2,oak_planks
6,1,2,oak_planks
7,1,2,oak_planks
7,1,4,loom
7,1,5,loom
7,1,0,oak_planks
4,2,0,oak_log
5,2,0,cobblestone
6,2,0,glass_pane
7,2,0,oak_log
4,2,1,cobblestone
7,2,1,cobblestone
4,2,2,glass_pane
7,2,2,cobblestone
4,2,3,oak_log
7,2,3,oak_log
4,2,4,cobblestone
7,2,4,cobblestone
4,2,5,glass_pane
7,2,5,cobblestone
4,2,6,oak_log
7,2,6,oak_log
5,2,6,cobblestone
6,2,6,glass_pane
5,2,1,torch
6,2,5,torch
0,2,1,oak_fence
0,2,6,oak_fence
4,3,0,oak_stairs,south,bottom
5,3,0,oak_stairs,south,bottom
6,3,0,oak_stairs,south,bottom
7,3,0,oak_stairs,south,bottom
8,3,0,oak_stairs,south,bottom
4,3,6,oak_stairs,north,bottom
5,3,6,oak_stairs,north,bottom
6,3,6,oak_stairs,north,bottom
7,3,6,oak_stairs,north,bottom
8,3,6,oak_stairs,north,bottom
3,3,1,oak_stairs,east,bottom
3,3,2,oak_stairs,east,bottom
3,3,3,oak_stairs,east,bottom
3,3,4,oak_stairs,east,bottom
3,3,5,oak_stairs,east,bottom
8,3,1,oak_stairs,west,bottom
8,3,2,oak_stairs,west,bottom
8,3,3,oak_stairs,west,bottom
8,3,4,oak_stairs,west,bottom
8,3,5,oak_stairs,west,bottom
4,3,1,oak_planks
5,3,1,oak_planks
6,3,1,oak_planks
7,3,1,oak_planks
4,3,2,oak_planks
5,3,2,oak_planks
6,3,2,oak_planks
7,3,2,oak_planks
4,3,3,oak_planks
5,3,3,oak_planks
6,3,3,oak_planks
7,3,3,oak_planks
4,3,4,oak_planks
5,3,4,oak_planks
6,3,4,oak_planks
7,3,4,oak_planks
4,3,5,oak_planks
5,3,5,oak_planks
6,3,5,oak_planks
7,3,5,oak_planks
5,3,2,torch
6,3,2,torch
5,3,4,torch
6,3,4,torch
5,3,3,torch
4,4,0,oak_stairs,south,bottom
5,4,0,oak_stairs,south,bottom
6,4,0,oak_stairs,south,bottom
7,4,0,oak_stairs,south,bottom
8,4,0,oak_stairs,south,bottom
4,4,6,oak_stairs,north,bottom
5,4,6,oak_stairs,north,bottom
6,4,6,oak_stairs,north,bottom
7,4,6,oak_stairs,north,bottom
8,4,6,oak_stairs,north,bottom
3,4,1,oak_slab,nil,bottom
3,4,5,oak_slab,nil,bottom
8,4,1,oak_slab,nil,bottom
8,4,5,oak_slab,nil,bottom
4,4,1,oak_planks
5,4,1,oak_planks
6,4,1,oak_planks
7,4,1,oak_planks
4,4,2,oak_planks
5,4,2,oak_planks
6,4,2,oak_planks
7,4,2,oak_planks
4,4,3,oak_planks
5,4,3,white_wool
6,4,3,yellow_wool
7,4,3,oak_planks
4,4,4,oak_planks
5,4,4,oak_planks
6,4,4,oak_planks
7,4,4,oak_planks
4,4,5,oak_planks
5,4,5,oak_planks
6,4,5,oak_planks
7,4,5,oak_planks
4,5,1,oak_stairs,south,bottom
5,5,1,oak_stairs,south,bottom
6,5,1,oak_stairs,south,bottom
7,5,1,oak_stairs,south,bottom
4,5,5,oak_stairs,north,bottom
5,5,5,oak_stairs,north,bottom
6,5,5,oak_stairs,north,bottom
7,5,5,oak_stairs,north,bottom
5,5,2,oak_planks
6,5,2,oak_planks
5,5,3,oak_planks
6,5,3,oak_planks
5,5,4,oak_planks
6,5,4,oak_planks
```

```
=== SMALL FARM 1 ===
dimensions: 8x8x2
door: none (open farm)
BLOCKS:
0,0,0,oak_log
1,0,0,oak_log
2,0,0,oak_log
3,0,0,oak_log
4,0,0,oak_log
5,0,0,oak_log
6,0,0,oak_log
7,0,0,oak_log
0,0,1,oak_log
1,0,1,farmland
2,0,1,farmland
3,0,1,water
4,0,1,farmland
5,0,1,farmland
6,0,1,oak_log
7,0,1,dirt
0,0,2,oak_log
1,0,2,farmland
2,0,2,farmland
3,0,2,water
4,0,2,farmland
5,0,2,farmland
6,0,2,oak_log
0,0,3,oak_log
1,0,3,farmland
2,0,3,farmland
3,0,3,water
4,0,3,farmland
5,0,3,farmland
6,0,3,oak_log
0,0,4,oak_log
1,0,4,farmland
2,0,4,farmland
3,0,4,water
4,0,4,farmland
5,0,4,farmland
6,0,4,oak_log
0,0,5,oak_log
1,0,5,farmland
2,0,5,farmland
3,0,5,water
4,0,5,farmland
5,0,5,farmland
6,0,5,oak_log
0,0,6,oak_log
1,0,6,farmland
2,0,6,farmland
3,0,6,water
4,0,6,farmland
5,0,6,farmland
6,0,6,oak_log
0,0,7,oak_log
1,0,7,oak_log
2,0,7,oak_log
3,0,7,oak_log
4,0,7,oak_log
5,0,7,oak_log
6,0,7,oak_log
7,0,7,oak_log
0,1,0,composter
1,1,1,wheat
2,1,1,wheat
4,1,1,wheat
5,1,1,wheat
1,1,2,wheat
2,1,2,wheat
4,1,2,wheat
5,1,2,wheat
1,1,3,wheat
2,1,3,wheat
4,1,3,wheat
5,1,3,wheat
1,1,4,wheat
2,1,4,wheat
4,1,4,wheat
5,1,4,wheat
1,1,5,wheat
2,1,5,wheat
4,1,5,wheat
5,1,5,wheat
1,1,6,wheat
2,1,6,wheat
4,1,6,wheat
5,1,6,wheat
1,1,7,wheat
2,1,7,wheat
4,1,7,wheat
```

```
=== SMALL HOUSE 1 ===
dimensions: 5x5x7
door: 2,1,0
BLOCKS:
0,0,0,stripped_oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,stripped_oak_log
0,0,1,cobblestone
1,0,1,oak_planks
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,cobblestone
0,0,2,cobblestone
1,0,2,oak_planks
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,cobblestone
0,0,4,stripped_oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,stripped_oak_log
0,1,0,stripped_oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,stripped_oak_log
0,1,1,cobblestone
1,1,1,white_bed
4,1,1,cobblestone
0,1,2,cobblestone
2,1,2,oak_stairs,east,bottom
4,1,2,cobblestone
0,1,3,cobblestone
1,1,3,white_bed
4,1,3,cobblestone
0,1,4,stripped_oak_log
1,1,4,cobblestone
3,1,4,cobblestone
4,1,4,stripped_oak_log
2,1,4,oak_stairs,north,bottom
0,2,0,stripped_oak_log
1,2,0,cobblestone
2,2,0,glass_pane
3,2,0,cobblestone
4,2,0,stripped_oak_log
0,2,1,glass_pane
4,2,1,cobblestone
0,2,2,cobblestone
4,2,2,glass_pane
0,2,3,cobblestone
4,2,3,glass_pane
0,2,4,stripped_oak_log
1,2,4,cobblestone
2,2,4,cobblestone
3,2,4,cobblestone
4,2,4,stripped_oak_log
1,2,1,torch
3,2,3,torch
0,3,0,stripped_oak_log
1,3,0,cobblestone
2,3,0,cobblestone
3,3,0,cobblestone
4,3,0,stripped_oak_log
0,3,1,cobblestone
1,3,1,torch
4,3,1,cobblestone
0,3,2,cobblestone
4,3,2,cobblestone
0,3,3,cobblestone
4,3,3,cobblestone
0,3,4,stripped_oak_log
1,3,4,cobblestone
2,3,4,cobblestone
3,3,4,cobblestone
4,3,4,stripped_oak_log
0,3,0,oak_stairs,south,bottom
1,3,0,oak_stairs,south,bottom
2,3,0,oak_stairs,south,bottom
3,3,0,oak_stairs,south,bottom
4,3,0,oak_stairs,south,bottom
0,3,4,oak_stairs,north,bottom
1,3,4,oak_stairs,north,bottom
2,3,4,oak_stairs,north,bottom
3,3,4,oak_stairs,north,bottom
4,3,4,oak_stairs,north,bottom
0,4,1,oak_stairs,south,bottom
1,4,1,oak_stairs,south,bottom
2,4,1,oak_stairs,south,bottom
3,4,1,oak_stairs,south,bottom
4,4,1,oak_stairs,south,bottom
0,4,3,oak_stairs,north,bottom
1,4,3,oak_stairs,north,bottom
2,4,3,oak_stairs,north,bottom
3,4,3,oak_stairs,north,bottom
4,4,3,oak_stairs,north,bottom
0,4,2,oak_planks
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_planks
4,4,2,oak_planks
0,5,2,oak_stairs,south,bottom
1,5,2,oak_stairs,south,bottom
2,5,2,oak_planks
3,5,2,oak_stairs,south,bottom
4,5,2,oak_stairs,south,bottom
0,5,2,oak_stairs,north,bottom
1,5,2,oak_stairs,north,bottom
3,5,2,oak_stairs,north,bottom
4,5,2,oak_stairs,north,bottom
2,6,2,oak_planks
```

```
=== SMALL HOUSE 2 ===
dimensions: 5x5x7
door: 2,1,4
BLOCKS:
0,0,0,stripped_oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,stripped_oak_log
0,0,1,cobblestone
1,0,1,oak_planks
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,cobblestone
0,0,2,cobblestone
1,0,2,oak_planks
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,cobblestone
0,0,4,stripped_oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,stripped_oak_log
2,0,5,oak_stairs,north,bottom
0,1,0,stripped_oak_log
1,1,0,white_terracotta
2,1,0,white_terracotta
3,1,0,white_terracotta
4,1,0,stripped_oak_log
0,1,1,white_terracotta
1,1,1,oak_stairs,east,bottom
2,1,1,yellow_bed
4,1,1,white_terracotta
0,1,2,white_terracotta
1,1,2,yellow_bed
3,1,2,white_terracotta
4,1,2,oak_stairs,west,bottom
0,1,3,white_terracotta
4,1,3,white_terracotta
0,1,4,stripped_oak_log
1,1,4,white_terracotta
3,1,4,white_terracotta
4,1,4,stripped_oak_log
0,2,0,stripped_oak_log
1,2,0,white_terracotta
2,2,0,glass_pane
3,2,0,white_terracotta
4,2,0,stripped_oak_log
0,2,1,white_terracotta
4,2,1,glass_pane
0,2,2,white_terracotta
4,2,2,glass_pane
0,2,3,white_terracotta
2,2,3,stripped_oak_log
4,2,3,white_terracotta
0,2,4,stripped_oak_log
1,2,4,white_terracotta
2,2,4,white_terracotta
3,2,4,white_terracotta
4,2,4,stripped_oak_log
0,3,0,stripped_oak_log
1,3,0,white_terracotta
2,3,0,white_terracotta
3,3,0,white_terracotta
4,3,0,stripped_oak_log
0,3,1,white_terracotta
1,3,1,torch
4,3,1,white_terracotta
0,3,2,white_terracotta
4,3,2,white_terracotta
0,3,3,white_terracotta
4,3,3,white_terracotta
0,3,4,stripped_oak_log
1,3,4,white_terracotta
2,3,4,white_terracotta
3,3,4,white_terracotta
4,3,4,stripped_oak_log
0,3,4,torch
0,4,0,oak_planks
1,4,0,oak_planks
2,4,0,oak_planks
3,4,0,oak_planks
4,4,0,oak_planks
0,4,1,oak_planks
1,4,1,oak_planks
2,4,1,oak_planks
3,4,1,oak_planks
4,4,1,oak_planks
0,4,2,oak_planks
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_planks
4,4,2,oak_planks
0,4,3,oak_planks
1,4,3,oak_planks
2,4,3,oak_planks
3,4,3,oak_planks
4,4,3,oak_planks
0,4,4,oak_planks
1,4,4,oak_planks
2,4,4,oak_planks
3,4,4,oak_planks
4,4,4,oak_planks
0,5,0,oak_planks
1,5,0,oak_planks
2,5,0,oak_planks
3,5,0,oak_planks
4,5,0,oak_planks
0,5,1,oak_planks
1,5,1,oak_planks
2,5,1,oak_planks
3,5,1,oak_planks
4,5,1,oak_planks
0,5,2,oak_planks
1,5,2,oak_planks
2,5,2,oak_planks
3,5,2,oak_planks
4,5,2,oak_planks
0,5,3,oak_planks
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_planks
4,5,3,oak_planks
0,5,4,oak_planks
1,5,4,oak_planks
2,5,4,oak_planks
3,5,4,oak_planks
4,5,4,oak_planks
0,6,0,oak_planks
1,6,0,oak_planks
2,6,0,oak_planks
3,6,0,oak_planks
4,6,0,oak_planks
0,6,1,oak_planks
1,6,1,oak_planks
2,6,1,oak_planks
3,6,1,oak_planks
4,6,1,oak_planks
0,6,2,oak_planks
1,6,2,oak_planks
2,6,2,oak_planks
3,6,2,oak_planks
4,6,2,oak_planks
0,6,3,oak_planks
1,6,3,oak_planks
2,6,3,oak_planks
3,6,3,oak_planks
4,6,3,oak_planks
0,6,4,oak_planks
1,6,4,oak_planks
2,6,4,oak_planks
3,6,4,oak_planks
4,6,4,oak_planks
```

```
=== SMALL HOUSE 3 ===
dimensions: 5x5x7
door: 2,1,4
BLOCKS:
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,oak_log
0,0,1,cobblestone
1,0,1,oak_planks
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,cobblestone
0,0,2,cobblestone
1,0,2,oak_planks
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,cobblestone
0,0,4,oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,oak_log
4,0,5,oak_stairs,north,bottom
0,1,0,oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,oak_log
0,1,1,cobblestone
1,1,1,yellow_bed
4,1,1,cobblestone
0,1,2,cobblestone
2,1,2,oak_stairs,east,bottom
4,1,2,cobblestone
0,1,3,cobblestone
1,1,3,yellow_bed
4,1,3,cobblestone
0,1,4,oak_log
1,1,4,cobblestone
3,1,4,cobblestone
4,1,4,oak_log
0,2,0,oak_log
1,2,0,oak_log
2,2,0,glass_pane
3,2,0,oak_log
4,2,0,oak_log
0,2,1,oak_log
4,2,1,glass_pane
0,2,2,oak_log
4,2,2,glass_pane
0,2,3,oak_log
4,2,3,cobblestone
0,2,4,oak_log
1,2,4,cobblestone
2,2,4,cobblestone
3,2,4,cobblestone
4,2,4,oak_log
0,3,0,oak_log
1,3,0,cobblestone
2,3,0,cobblestone
3,3,0,cobblestone
4,3,0,oak_log
0,3,1,cobblestone
1,3,1,torch
4,3,1,cobblestone
0,3,2,cobblestone
4,3,2,cobblestone
0,3,3,cobblestone
4,3,3,cobblestone
0,3,4,oak_log
1,3,4,cobblestone
2,3,4,cobblestone
3,3,4,cobblestone
4,3,4,oak_log
3,3,3,torch
0,3,0,oak_stairs,south,bottom
1,3,0,oak_stairs,south,bottom
2,3,0,oak_stairs,south,bottom
3,3,0,oak_stairs,south,bottom
4,3,0,oak_stairs,south,bottom
0,3,4,oak_stairs,north,bottom
1,3,4,oak_stairs,north,bottom
2,3,4,oak_stairs,north,bottom
3,3,4,oak_stairs,north,bottom
4,3,4,oak_stairs,north,bottom
0,4,1,oak_stairs,south,bottom
1,4,1,oak_stairs,south,bottom
2,4,1,oak_stairs,south,bottom
3,4,1,oak_stairs,south,bottom
4,4,1,oak_stairs,south,bottom
0,4,3,oak_stairs,north,bottom
1,4,3,oak_stairs,north,bottom
2,4,3,oak_stairs,north,bottom
3,4,3,oak_stairs,north,bottom
4,4,3,oak_stairs,north,bottom
0,4,2,oak_planks
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_planks
4,4,2,oak_planks
0,5,2,oak_stairs,south,bottom
1,5,2,oak_stairs,south,bottom
2,5,2,oak_planks
3,5,2,oak_stairs,north,bottom
4,5,2,oak_stairs,north,bottom
2,6,2,oak_planks
```

---

**Summary of all 12 structures:**

| # | Structure | Dimensions | Door | Layers | Key Features |
|---|-----------|-----------|------|--------|-------------|
| 1 | Medium House 1 | 7x9x7 | 3,1,0 | 7 | Cobblestone/oak planks, pitched roof, 2 beds, fences |
| 2 | Medium House 2 | 5x12x6 | 2,1,10 | 6 | Longer layout, 2 beds, chest, oak log corners |
| 3 | Meeting Point 1 | 6x6x7 | none | 7 | Well structure with water, bell, cobblestone cap |
| 4 | Meeting Point 2 | 10x10x5 | none | 5 | Open pavilion, fence posts, wool/slab awning, bell |
| 5 | Meeting Point 3 | 9x9x9 | none | 9 | Oak tree centerpiece, fences, bell, cobblestone ring |
